x_coord,y_coord
76.7382882,30.7442383
76.7376521,30.7443092
76.7278321,30.7444034
76.7381367,30.7444121
76.7379307,30.7444567
76.7341316,30.7444616
76.737515,30.744709
76.7331828,30.7456697
76.7264388,30.7460757
76.7357323,30.7472354
76.7357739,30.74739
76.733505,30.7505059
76.7328404,30.7324781
76.7332677,30.7327521
76.7316628,30.7327971
76.7313886,30.7331278
76.7322493,30.7331644
76.7341986,30.7332918
76.7327071,30.7334288
76.7311088,30.7334566
76.7319971,30.7334899
76.7328648,30.7335414
76.7347761,30.7336707
76.7317011,30.7338434
76.7325962,30.7338415
76.7306934,30.7339347
76.733607,30.7340166
76.7353894,30.7340381
76.7322879,30.7342223
76.7303802,30.7343355
76.7333481,30.7343202
76.7313041,30.7343132
76.7360311,30.7344461
76.7301384,30.7346456
76.7371314,30.7346411
76.7330348,30.734705
76.7309854,30.7346883
76.7319162,30.7347087
76.7370708,30.7347196
76.7299232,30.7348876
76.7301376,30.7350205
76.7307179,30.7350117
76.7336211,30.7350715
76.7324445,30.7350426
76.7315996,30.7350562
76.7358862,30.7352791
76.7298695,30.7353443
76.7334498,30.7353
76.7313196,30.735389
76.7342444,30.7354627
76.7323378,30.7354996
76.7363382,30.7355678
76.729583,30.7356838
76.7348488,30.7358413
76.7350239,30.7356337
76.7320721,30.7358263
76.7299622,30.7359202
76.7318221,30.7360924
76.7346216,30.7360983
76.7358359,30.7361334
76.7303099,30.7361369
76.7388371,30.7363469
76.7363222,30.7363028
76.7306926,30.7363755
76.7316019,30.7363536
76.7294856,30.736485
76.7354424,30.7366133
76.7320356,30.7366165
76.7298333,30.7367017
76.7312836,30.7367462
76.7291897,30.7368357
76.7384524,30.7368566
76.7323812,30.7368233
76.7358783,30.7368653
76.730216,30.7369403
76.7328687,30.7369195
76.732755,30.7370541
76.731581,30.7371335
76.72889,30.7371907
76.729922,30.7372887
76.7319302,30.7373445
76.7379965,30.7374208
76.7292718,30.7374288
76.7302945,30.7375192
76.7407747,30.7376049
76.7323276,30.7375772
76.7296204,30.7376461
76.74104,30.73777
76.7424656,30.7377939
76.7283833,30.7377683
76.7421996,30.7378475
76.7300094,30.7378596
76.7426882,30.7379135
