x_coord,y_coord
78.8972425,27.8422993
78.8964619,27.843057
78.8966267,27.8432148
78.8990454,27.84649
78.8981974,27.8469999
78.9071249,27.8506726
78.9066356,27.8501185
78.9079264,27.8486336
78.9078956,27.8556607
78.9074792,27.8559004
78.8938961,27.8409457
78.8944142,27.8413316
78.8947253,27.8411312
78.8944463,27.8409356
78.8948123,27.8406073
78.8941768,27.8407707
78.8953329,27.8411379
78.8934431,27.8411564
78.8930328,27.8417325
78.894368,27.8424962
78.8953663,27.8426883
78.895735,27.8424704
78.8937335,27.8429628
78.8941791,27.8419787
78.893443,27.8426036
78.8938296,27.8428669
78.8934136,27.8432624
78.8932112,27.8434282
78.8939124,27.8415317
78.8957017,27.8410074
78.8945315,27.8416722
78.8927659,27.8406687
78.8954014,27.8422106
78.908709,27.8496893
78.9077515,27.8501913
78.8984831,27.847396
78.9000864,27.847925
78.9026834,27.8460726
78.8972724,27.8440169
78.8952604,27.8423669
78.8953422,27.8431899
78.8953335,27.8427037
78.8954414,27.8430689
78.9077528,27.8553548
78.907409,27.8558044
78.903417,27.8608437
78.9146942,27.8405927
78.9153475,27.8412629
78.8986798,27.8472201
78.8983847,27.8468827
78.8980063,27.5758498
78.9070223,27.5812164
78.9047726,27.5829378
78.9036362,27.579709
78.8986994,27.5747298
78.8977389,27.5756904
78.8974163,27.5761967
78.9042813,27.5826159
78.9047064,27.5822743
78.9047267,27.5794838
78.9060692,27.576901
78.9064911,27.5772131
78.9076928,27.5770455
78.9077863,27.5772654
78.9100081,27.5771765
78.9096419,27.5765972
78.9101545,27.5754277
78.9079872,27.5789987
78.9092102,27.5797423
78.9094661,27.5766888
78.908086,27.577047
78.9086128,27.5774705
78.909195,27.5765187
78.9089347,27.5762653
78.9088339,27.5760816
78.9074575,27.5769795
78.9082647,27.5750749
78.9086471,27.5784037
78.9082487,27.578081
78.9075803,27.5776979
78.9073881,27.5787544
78.9099059,27.5761361
78.9090355,27.5755408
78.9086477,27.5759461
78.909644,27.5759481
78.9070718,27.5800166
78.9080601,27.5802688
78.909359,27.5777619
78.9090119,27.5776734
78.9083784,27.577269
78.9082795,27.571819
78.9083318,27.5712823
78.9089196,27.5714752
78.9094875,27.5712956
78.9094381,27.571279
78.9090197,27.5718778
78.9088091,27.5717377
78.9098283,27.5682576
78.906273,27.5665122
78.9077506,27.5666931
78.9077807,27.5666322
78.9099564,27.5656396
78.9091491,27.5677987
78.9096186,27.5673565
78.9095861,27.5715207
78.9163323,27.572473
78.932761,27.5826509
78.9216584,27.5681554
78.9213831,27.5678898
78.9223072,27.5656493
78.9222044,27.5675694
78.8169064,27.9204497
78.8157886,27.9202088
78.9340079,27.583238
78.8157513,27.9201671
78.8036549,27.91302
78.8091266,27.9161398
78.8129032,27.9189115
78.8143059,27.9198074
78.8147003,27.9198927
78.8157544,27.9196936
78.8184138,27.9202518
78.8265885,27.9080036
78.815977,27.9195574
78.8166056,27.9198471
78.9346302,27.5833977
78.933124,27.5846103
78.9322814,27.5851856
78.9337121,27.5855843
